Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
1,5/11/22-ALG-TSB-01,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.44,4.43,8.29,0.81,10.2345679,10,0.32,3.6123,-80.60765,25.40278
2,5/11/22-ALG-TSB-02,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.32,4.36,6.61,0.69,9.579710145,NA,NA,4.4631,-80.60757,25.40272
3,5/11/22-ALG-TSB-03,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.44,4.44,11.39,1.07,10.64485981,NA,NA,2.1424,-80.60754,25.40273
4,5/11/22-ALG-TSB-04,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-29.25,5.55,13.35,1.27,10.51181102,NA,NA,4.0468,-80.60681,25.40233
5,5/11/22-ALG-TSB-05,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.99,4.88,12.91,1.26,10.24603175,8.1,0.4,2.7741,-80.6069,25.40238
6,5/11/22-ALG-TSB-06,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-29.46,4.77,18.05,1.64,11.00609756,19.6,0.54,0.9108,-80.60698,25.40242
7,5/9/22-ALG-TSSW-07,Microalgae,Dry,Taylor Marsh,Taylor Slough Marsh,Taylor Slough Marsh,,Taylor Slough Marsh,-34.2,2.89,32.01,3.2,10.003125,8.9,3.05,0.2964,-80.8262,25.23037
8,5/9/22-ALG-TSSW-08,Microalgae,Dry,Taylor Marsh,Taylor Slough Marsh,Taylor Slough Marsh,,Taylor Slough Marsh,-33.9,2.6,33.59,3.11,10.80064309,11.9,3.28,0.4505,-80.82624,25.23033
9,5/4/22-ALG-TSSW-09,Microalgae,Dry,Taylor Marsh,Taylor Slough Marsh,Taylor Slough Marsh,,Taylor Slough Marsh,-33.43,2.56,31.16,2.97,10.49158249,10.5,2.53,0.3885,-80.8262,25.23037
10,5/4/22-ALG-WL-10,Microalgae,Dry,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-23.74,3.03,9.43,1.13,8.345132743,NA,NA,7.1495,-80.85019736,25.21475798
11,5/9/22-ALG-WL-11,Microalgae,Dry,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-21.31,3.39,10.54,1.19,8.857142857,NA,NA,2.5311,-80.85011894,25.2145053
12,5/9/22-ALG-WL-12,Microalgae,Dry,West Lake Bathroom,Alligator Creek System,Alligator Creek System,,Upstream,-20.41,3.34,10.03,1.09,9.201834862,NA,NA,2.4868,-80.8500916,25.21443398
13,5/9/22-ALG-WL-13,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.06,2.54,5.59,0.67,8.343283582,1.5,1.32,0.6109,-80.83881,25.21164
14,5/9/22-ALG-WL-14,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.87,2.27,8.8,1.07,8.224299065,NA,NA,0.28,-80.81963,25.21331
15,5/9/22-ALG-WL-15,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-18.08,0.64,17.97,1.62,11.09259259,11.3,1.31,0.7661,-80.80592855,25.21134233
16,5/9/22-ALG-WL-16,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-20.21,2.09,9.23,0.97,9.515463918,NA,NA,0.0282,-80.85216703,25.20682864
17,5/9/22-ALG-WL-17,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-16.9,0.05,17.55,1.5,11.7,NA,NA,0.0165,-80.84166171,25.20565088
18,5/9/22-ALG-WL-18,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-20.77,1.82,11.15,1.19,9.369747899,9.1,0.87,0.0328,-80.82776,25.20938
19,5/9/22-ALG-WL-19,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.54,3.62,7.79,0.82,9.5,NA,NA,0.026,-80.80858877,25.20607654
20,5/9/22-ALG-WL-20,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-20.75,3.33,18.52,1.74,10.64367816,NA,NA,0.6463,-80.84218,25.20265
21,5/9/22-ALG-WL-21,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.22,2.43,6.2,0.59,10.50847458,NA,NA,0.0071,-80.8247284,25.20314321
22,5/9/22-ALG-WL-22,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.42,2.81,7.86,1.02,7.705882353,5.1,1.07,0.2837,-80.80071729,25.20243211
23,5/9/22-ALG-CU-23,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.79,2.84,15.73,1.86,8.456989247,NA,NA,1.0536,-80.7796856,25.21275483
24,5/9/22-ALG-CU-24,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.16,2.95,20.34,2.25,9.04,NA,NA,0.7107,-80.77318117,25.21161804
25,5/9/22-ALG-CU-25,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.53,2.8,17.05,1.9,8.973684211,12.5,1.47,1.3069,-80.78403302,25.20664233
26,5/9/22-ALG-CU-26,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.22,3.53,19.02,2.4,7.925,13.9,0.99,0.1084,-80.78401,25.20653
27,5/9/22-ALG-CU-27,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.51,3.14,14.87,2.02,7.361386139,NA,NA,0.4067,-80.78064328,25.20994898
28,5/9/22-ALG-CU-28,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.48,2.8,14.55,1.65,8.818181818,NA,NA,0.3133,-80.76935538,25.207425
29,5/9/22-ALG-CU-29,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.11,1.3,12.95,1.33,9.736842105,NA,NA,2.8757,-80.76049355,25.20948441
30,5/9/22-ALG-CU-30,Microalgae,Dry,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-21.93,2.55,14.18,1.23,11.52845528,NA,NA,2.4783,-80.7747838,25.20973712
31,5/9/22-ALG-CU-31,Microalgae,Dry,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-21.79,3.96,12.03,1.06,11.3490566,NA,NA,2.3345,-80.77454197,25.20971169
32,5/9/22-ALG-CU-32,Microalgae,Dry,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-24.01,3.15,15.49,1.53,10.12418301,NA,NA,3.386,-80.7740655,25.20994538
33,5/9/22-ALG-CU-33,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.2,3.58,11.39,1.62,7.030864198,NA,NA,0.0526,-80.78520595,25.20497064
34,5/9/22-ALG-CU-34,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.64,2.81,16.88,1.97,8.568527919,14,1.8,0.4867,-80.7789951,25.20092749
35,5/9/22-ALG-CU-35,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.59,3.07,11.68,1.62,7.209876543,NA,NA,0.1887,-80.77300269,25.20308434
36,5/9/22-ALG-CU-36,Microalgae,Dry,Cuthbert Groundwater,Alligator Creek System,Alligator Creek System,,Upstream,-24.9,3.11,12.89,1.83,7.043715847,11.6,1.24,0.3382,-80.76756,25.20419
37,5/9/22-ALG-LL-37,Microalgae,Dry,Long Lake,Alligator Creek System,Alligator Creek System,,Middle ,-24.39,2.64,10.64,1.34,7.940298507,1.7,1.48,2.3814,-80.79532615,25.19828574
38,5/9/22-ALG-LL-38,Microalgae,Dry,Long Lake,Alligator Creek System,Alligator Creek System,,Middle ,-24.32,2.77,10.37,1.37,7.569343066,4,1.87,2.9162,-80.78867816,25.19535681
39,5/9/22-ALG-LL-39,Microalgae,Dry,Long Lake,Alligator Creek System,Alligator Creek System,,Middle ,-22.48,1.94,12.89,1.67,7.718562874,1.1,1.21,2.4841,-80.77456057,25.18989593
40,5/9/22-ALG-LU-40,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.65,2.55,7.25,1.02,7.107843137,-1.1,1.01,5.6363,-80.77512156,25.17457251
41,5/9/22-ALG-LU-41,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.8,2.34,5.56,0.84,6.619047619,3.5,0.91,0.9719,-80.76455375,25.17288717
42,5/4/22-ALG-LU-42,Microalgae,Dry,The Lungs,Alligator Creek System,Alligator Creek System,,Downstream,-22.47,2.33,4.82,0.75,6.426666667,0.5,0.77,0.3613,-80.76938104,25.1705475
43,5/4/22-ALG-GB-43,Microalgae,Dry,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-18.89,2.74,4.53,0.62,7.306451613,NA,NA,5.6828,-80.79588681,25.17547484
