Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
1,12/23/21-ALG-TSB-01,Microalgae,Wet,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.31,2.12,26.76,2.03,13.18226601,14.2,0.47,0.1221,80.60765,25.40278
1,5/11/22-ALG-TSB-01,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.44,4.43,8.29,0.81,10.2345679,10,0.32,3.6123,-80.60765,25.40278
2,12/23/21-ALG-TSB-02,Microalgae,Wet,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-29.27,4.09,15.32,1.71,8.959064327,NA,NA,0.0266,80.60757,25.40272
2,5/11/22-ALG-TSB-02,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.32,4.36,6.61,0.69,9.579710145,NA,NA,4.4631,-80.60757,25.40272
3,12/23/21-ALG-TSB-03,Microalgae,Wet,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.12,3.74,28.25,2.41,11.7219917,NA,NA,0.0914,80.60754,25.40273
3,5/11/22-ALG-TSB-03,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.44,4.44,11.39,1.07,10.64485981,NA,NA,2.1424,-80.60754,25.40273
4,12/23/21-ALG-TSB-04,Microalgae,Wet,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-29.69,3.81,22.41,1.74,12.87931034,NA,NA,0.0614,80.60681,25.40233
4,5/11/22-ALG-TSB-04,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-29.25,5.55,13.35,1.27,10.51181102,NA,NA,4.0468,-80.60681,25.40233
5,12/23/21-ALG-TSB-05,Microalgae,Wet,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-30.83,4.25,19.37,1.64,11.81097561,17.4,0.38,0.03,80.6069,25.40238
5,5/11/22-ALG-TSB-05,Microalgae,Dry,Taylor River,Taylor River Bridge,Taylor River Bridge,,Taylor River Bridge,-28.99,4.88,12.91,1.26,10.24603175,8.1,0.4,2.7741,-80.6069,25.40238
