Code,Species,Season,Lake,System,Strata,Zone,d13C,d15N,C,N,C.N,Biomass,Latitude,Longitude
11/10/21-ALG-GB-45,Microalgae,Wet,Garfield Bight,Alligator Creek System,,Bay,-19.26,2.61,7.39,0.86,8.593023256,5.602,-80.79908454,25.16861982
11/10/21-ALG-GB-46,Microalgae,Wet,Garfield Bight,Alligator Creek System,,Bay,-17.78,2.6,9.72,1.21,8.033057851,0.3795,-80.80958331,25.16508427
11/10/21-ALG-GB-47,Microalgae,Wet,Garfield Bight,Alligator Creek System,,Bay,-16.13,3.08,8.94,1.04,8.596153846,0.2986,-80.81103676,25.16067739
11/10/21-ALG-GB-48,Microalgae,Wet,Garfield Bight,Alligator Creek System,,Bay,-17.52,3.11,6.98,0.96,7.270833333,1.6019,-80.81293645,25.15865979
11/10/21-ALG-GB-49,Microalgae,Wet,Garfield Bight,Alligator Creek System,,Bay,-16.98,2.96,6.13,0.77,7.961038961,9.7163,-80.80514128,25.15227513
11/10/21-ALG-MI-60,Microalgae,Wet,Middle Lake,McCormick Creek System,,Middle,-24.26,2.08,11.61,1.16,10.00862069,2.4334,-80.72674626,25.17540026
11/10/21-ALG-MI-61,Microalgae,Wet,Middle Lake,McCormick Creek System,,Middle,-24.04,2.48,12.49,1.35,9.251851852,0.3202,-80.73227537,25.1825992
11/10/21-ALG-MI-62,Microalgae,Wet,Middle Lake,McCormick Creek System,,Middle,-24.29,2.6,7.71,0.86,8.965116279,0.5254,-80.73329107,25.17902417
11/10/21-ALG-MO-63,Microalgae,Wet,Monroe Lake,McCormick Creek System,,Downstream,-25.93,3.12,13.76,1.71,8.046783626,2.899,-80.74303961,25.18166491
11/10/21-ALG-MO-65,Microalgae,Wet,Monroe Lake,McCormick Creek System,,Downstream,-24.93,3.56,15.68,1.86,8.430107527,1.4401,-80.74134466,25.16976624
11/10/21-ALG-MO-64,Microalgae,Wet,Monroe Lake,McCormick Creek System,,Downstream,-26.32,3.53,13.25,2.09,6.339712919,0.7446,-80.74646378,25.17579064
